userId,movieId,rating,timestamp
1,505,5.0,964983536
1,810,5.0,964980668
1,849,4.0,964980683
1,976,4.0,964980694
1,1025,5.0,964981855
2,810,4.0,1445714885
2,4106,4.0,1445714952
2,6030,3.5,1445714960
2,44202,4.0,1445715013
2,57988,5.0,1445714980
2,65389,4.5,1445715154
2,68767,3.0,1445714974
2,71690,4.0,1445714926
2,74687,3.0,1445714941
2,76364,4.0,1445714841
2,77721,4.5,1445715340
2,78138,5.0,1445715172
2,83577,4.0,1445715166
2,87006,5.0,1445715189
2,96346,3.5,1445714874
2,106719,3.0,1445715145
2,109784,4.0,1445714882
2,111292,2.0,1445715276
2,112945,3.5,1445714854
2,120114,5.0,1445715272
2,128956,5.0,1445714851
3,1181,0.5,1306464245
3,2280,0.5,1306464284
3,69610,0.5,1306464164
4,549,4.0,986934498
4,640,4.0,986849238
4,713,2.0,964538243
4,1083,5.0,986849180
4,1129,4.0,986934465
4,1143,3.0,986849149
4,1199,4.0,986849164
4,1228,4.0,986849130
4,1246,1.0,986849254
4,1253,4.0,986849180
4,1259,3.0,986849201
4,1261,3.0,986849226
4,1265,4.0,986849149
4,1266,5.0,986848753
4,1376,3.0,986848685
4,1398,3.0,986848700
4,1458,2.0,1007569424
4,1471,5.0,986848685
4,1478,4.0,1007574542
4,1505,4.0,1007574470
4,1540,1.0,1007569465
4,1579,4.0,1007569586
4,1873,1.0,1007569586
4,1973,3.0,1007574532
4,1997,5.0,1007569445
4,2128,4.0,1007574532
4,2199,5.0,1007569424
7,586,1.5,1106713005
7,640,4.5,1106712549
7,810,1.5,1106636534
7,855,1.0,1106712541
7,1025,3.5,1106635630
7,1148,4.0,1106636596
7,1209,2.5,1106635635
7,1226,3.0,1161738301
7,1250,4.0,1106712913
7,1455,2.0,1106635742
7,1478,2.0,1110855253
7,1538,4.0,1106635524
7,1542,0.5,1107127033
7,1602,4.5,1106712869
7,1875,1.0,1106635749
7,2076,1.5,1161738352
7,2106,3.0,1106635738
7,2118,4.0,1106636531
7,2128,4.0,1106636718
7,2195,4.0,1106636702
7,2450,3.5,1106712866
7,2581,3.5,1106636606
7,2610,0.5,1106635735
7,2677,4.0,1106636707
7,2691,3.0,1106712820
7,2696,3.0,1106636612
7,2734,1.5,1106635745
7,2850,5.0,1106713586
7,3048,4.5,1106635705
7,3221,4.0,1106636600
7,3223,4.5,1106712818
7,3565,4.0,1106636516
7,3766,0.5,1157949714
7,3771,4.5,1106636584
7,4095,4.5,1106712827
7,4387,3.0,1173051472
7,4677,4.0,1107473963
7,5592,3.5,1106636782
7,5600,2.5,1106636592
7,5760,4.5,1106636844
7,5868,4.5,1106636511
7,5897,3.5,1108602755
7,5898,1.0,1106779625
7,6030,4.5,1106636602
7,6097,1.0,1106713549
7,6139,1.0,1110757877
7,6140,4.5,1122333561
7,6181,4.0,1110757890
7,6189,4.0,1106636098
7,6190,3.5,1110173697
7,6202,2.5,1106636069
7,6204,2.5,1111552650
7,6216,4.0,1106636101
7,29110,3.5,1118025982
7,29261,2.0,1118025946
7,29263,1.5,1122940686
7,29819,3.5,1128486479
7,30394,3.5,1116550784
7,30725,1.0,1121041079
7,31026,2.0,1121041002
7,31068,1.0,1125442102
7,31280,3.0,1121041015
7,34973,3.5,1162163504
7,35620,3.5,1149548381
7,42731,4.0,1157949636
7,42749,4.5,1157066190
7,42962,0.5,1161738279
7,43762,1.0,1157949732
7,46015,4.5,1162163488
7,46229,2.5,1174263740
7,46504,4.5,1165876367
7,46510,3.5,1174263775
7,47056,3.0,1173051469
9,2450,4.0,1044656811
9,2610,3.0,1044656811
9,2677,4.0,1044656792
9,2679,4.0,1044656836
9,2683,4.0,1044656836
9,2713,5.0,1044656836
9,2739,1.0,1044656836
9,3104,3.0,1044656962
9,3122,4.0,1044656792
9,3134,5.0,1044656934
9,3188,4.0,1044656962
10,810,4.0,1455356591
10,1114,3.0,1455398344
10,1478,3.5,1455302676
10,1538,4.5,1455356595
10,1679,4.5,1455398321
10,2298,3.0,1455399329
10,2609,3.5,1455301898
10,2852,3.0,1455357578
10,3175,3.0,1455303078
10,3189,3.0,1455397999
10,3387,3.0,1455357557
10,3498,3.0,1455303070
10,3609,3.5,1455306101
10,3767,4.0,1455398379
10,4174,4.0,1455301621
10,4381,4.0,1455399533
10,4383,3.0,1455302670
10,4386,4.0,1455399087
10,4401,4.5,1455303046
10,4525,3.5,1455402085
10,4607,4.0,1455303057
10,4683,3.5,1455399289
10,4690,5.0,1455356656
10,5868,3.5,1455356713
10,5897,3.5,1455356327
10,6101,5.0,1455303064
10,6201,3.5,1455302697
10,6202,1.0,1455398160
10,27981,3.5,1455398096
10,28917,4.5,1455357602
10,30911,3.0,1455357626
10,31026,5.0,1455302031
10,37861,3.0,1455356796
10,38051,4.0,1455301745
10,38517,2.5,1455301854
10,46504,5.0,1455302162
10,48894,3.0,1455356357
10,48937,4.5,1455359663
10,49066,1.5,1455399396
10,51518,3.5,1455356320
10,53599,3.5,1455301825
10,54181,3.0,1455357531
10,55279,3.5,1455302791
10,56565,2.5,1455357564
10,56653,2.0,1455398002
10,57629,3.0,1455302689
10,58182,2.0,1455301965
10,60345,3.5,1455302183
10,61224,4.5,1455356863
10,62201,0.5,1455357607
10,63435,3.5,1455357596
10,66186,4.0,1455304158
10,67076,3.0,1455399200
10,67415,3.0,1455357636
10,67525,0.5,1455398141
10,69243,2.5,1455301741
10,69639,3.0,1455356987
10,70230,2.5,1455356351
10,70249,3.0,1455356691
10,71682,3.0,1455357541
10,75073,2.0,1455302684
10,76004,3.0,1455356988
10,76323,5.0,1455306124
10,77781,3.5,1455399347
10,79016,2.5,1455357716
10,79079,3.5,1455399313
10,79731,2.0,1455398390
10,81606,3.5,1455357730
10,83780,3.0,1455398396
10,84454,3.5,1455306257
10,85395,4.0,1455357504
10,89491,5.0,1455301553
10,92399,4.0,1455398177
10,92681,4.0,1455356885
